id,source,target
Austria,1980 - 1990,English
German,1980 - 1990,1986
"Абрагам А Санта Клара: Опівнічні музики: Вірш, № 03",1986,"Форшоу, Тельма: Демонстрація: Оповідання, № 11"
"Артманн, Ганс Карл: Поезії, № 02",1980 - 1990,Australia
"Бахманн, Інгеборг: Поезії, № 02",1980 - 1990,English
"Бернгард, Томас: Три дні: Оповідання, № 04",1980 - 1990,1981
"Буста, Крістіна: Поезії, № 02",1981,"Шеппард, Тріш: Діти сліпоти: Роман, № 12"
"Гандке(Хацдке), Петер: Жінка-лівша: Повість, № 02",1970 - 1980,Austria
"Гандке(Хацдке), Петер: Поезії, № 02",1970 - 1980,German
"Захер-Мазох, Леопольд фон: Дон Жуан з Коломиї: Повість, № 03",1970 - 1980,1976
"Захер-Мазох, Леопольд фон: Жіночі образки з Галичини: Оповідання, № 03",1976,"Абрагам А Санта Клара: Опівнічні музики: Вірш, № 03"
"Кайн, Франц: Дорога до гірського озера: Оповідання, № 05",1990 - 2000,Austria
"Кайн, Франц: Сонет місту Леніна, № 11",1990 - 2000,German
"Каснер, Рудольф: Притчі, № 03",1990 - 2000,1998
"Кафка, Франц: Вирок, № 3/4",1998,"Артманн, Ганс Карл: Поезії, № 02"
"Кафка, Франц: Сільський лікар, № 3/4",1990 - 2000,Austria
"Кафка, Франц: Старовинний рукопис, № 3/4",1990 - 2000,German
"Кафка, Франц: Перед законом, № 3/4",1990 - 2000,1998
"Кафка, Франц: Шакали і араби, № 3/4",1998,"Бахманн, Інгеборг: Поезії, № 02"
"Кафка, Франц: Звіт для академії, № 3/4",1990 - 2000,Austria
"Кафка, Франц: Мисливець Гракх, № 3/4",1990 - 2000,German
"Кафка, Франц: При будові Китайського муру, № 3/4",1990 - 2000,1991
"Кафка, Франц: Герб міста, № 3/4",1991,"Бернгард, Томас: Три дні: Оповідання, № 04"
"Кафка, Франц: Відмова, № 3/4",1990 - 2000,Austria
"Кафка, Франц: Стерновий, № 3/4",1990 - 2000,German
"Кафка, Франц: Дзига, № 3/4",1990 - 2000,1998
"Кафка, Франц: У дорогу: Оповідання, № 3/4",1998,"Буста, Крістіна: Поезії, № 02"
"Кафка, Франц: Кочегар: Розд. з роману «Америка», № 12",1980 - 1990,Austria
"Кафка, Франц: Перевтілення: Оповідання, № 12",1980 - 1990,German
"Кафка, Франц: Верхи на кадобі: Новела, № 12",1980 - 1990,1980
"Кафка, Франц: Перед брамою закону: Урив, з роману «Процес», № 12",1980,"Гандке(Хацдке), Петер: Жінка-лівша: Повість, № 02"
"Кафка, Франц: Імператорське послання: Новела, № 12",1990 - 2000,Austria
"Кафка, Франц: Перевтілення: Оповідання, № 1/2",1990 - 2000,German
"Кафка, Франц: Три оповідання: Перше горе, № 5/6",1990 - 2000,1998
"Кафка, Франц: Жіночка, № 5/6",1998,"Гандке(Хацдке), Петер: Поезії, № 02"
"Кафка, Франц: Співачка Жозефіна, або Мишачий народ, № 5/6",1990 - 2000,Austria
"Кіш, Егон Ервін: Витатуйований портрет: Оповідання, № 9/10",1990 - 2000,German
"Кіш, Егон Ервін: Кахетинське червоне: Оповідання, № 34",1990 - 2000,1994
"Майрекер, Фрідеріке: Поезії, № 02",1994,"Захер-Мазох, Леопольд фон: Дон Жуан з Коломиї: Повість, № 03"
"Музіль, Роберт: Гріджія: Новела, № 07",1990 - 2000,Austria
"Рансмайр, Крістоф: Останній світ: Роман, № 3/4",1990 - 2000,German
"Рільке, Райнер Марія: Дума про кохання і смерть корнета Крістофера Рільке: Поезія в прозі, № 10",1990 - 2000,1994
"Рільке, Райнер Марія: Поезії, № 10",1994,"Захер-Мазох, Леопольд фон: Жіночі образки з Галичини: Оповідання, № 03"
"Рільке, Райнер Марія: З дитинства: Вірш, № 7/8",1980 - 1990,Austria
"Рільке, Райнер Марія: Поезії, № 02",1980 - 1990,German
"Рільке, Райнер Марія: Поезії, № 01",1980 - 1990,1984
"Рільке, Райнер Марія: Поезії, № 04",1984,"Кайн, Франц: Дорога до гірського озера: Оповідання, № 05"
"Рот, Йозеф: Ціппер та його батько: Роман, № 08",1970 - 1980,Austria
"Тракль, Георг: Поезії, № 10",1970 - 1980,German
"Фрід, Еріх: Поезії, № 09",1970 - 1980,1973
"Фрітш, Гергарт: Поезії, № 02",1973,"Кайн, Франц: Сонет місту Леніна, № 11"
"Фуссенегер, Гертруда: Тютюновий город: Оповідання, № 11",1990 - 2000,Austria
-,1990 - 2000,German
"Хайду, Юліус: Новий світ: Урив з кн, № 31/33",1990 - 2000,1990
"Цвейг, Стефан: Пломбований поїзд: Оповідання: з кн. «Зоряні години людства», № 11",1990,"Каснер, Рудольф: Притчі, № 03"
"Цвейг, Стефан: Фрагмент новели: 3 маловідомої спадщини, № 10",1990 - 2000,Austria
"Целан, Пауль: Поезії, № 06",1990 - 2000,German
"Цур Мюлен, Гермінія: Дрібнота: Оповідання, № 03",1990 - 2000,1993
"Цур Мюлен, Гермінія: Перлина: Оповідання, № 27",1993,"Кафка, Франц: Вирок, № 3/4"
"Цур Мюлен, Гермінія: Штепсель: Оповідання, № 41",1990 - 2000,Austria
"Яндль, Ернст: Поезії, № 09",1990 - 2000,German
"Яндль, Ернст: Поезії, № 02",1990 - 2000,1993
Albania,1993,"Кафка, Франц: Сільський лікар, № 3/4"
Albanian,1990 - 2000,Austria
"Буджелі, Каміль: Королівський кінь і нові вершники: Роман(скорочено), № 06",1990 - 2000,German
"Буджелі, Каміль: Королівський кінь і нові вершники: Роман(скорочено), № 07",1990 - 2000,1993
"Д’ята, Фатмір: Жовті води: Оповідання, № 01",1993,"Кафка, Франц: Старовинний рукопис, № 3/4"
"Щощ, А: Останнє слово, № 05",1990 - 2000,Austria
"Щощ, А: Роздавач премій, № 05",1990 - 2000,German
"Щощ, А: Не залякаєш: Епіграми, № 05",1990 - 2000,1993
Algeria,1993,"Кафка, Франц: Перед законом, № 3/4"
French,1990 - 2000,Austria
"Амруш, Жан: Алжірська боротьба: Вірш, № 10",1990 - 2000,German
"Ашур, Мулуд: Сенс Життя: Оповідання, № 01",1990 - 2000,1993
"Булануар, Мессаур: Вступ: Вірш, № 06",1993,"Кафка, Франц: Шакали і араби, № 3/4"
Arabic,1990 - 2000,Austria
"Ваттар, Ат-Тахір: Весілля мула: Роман, № 03",1990 - 2000,German
"Ваттар, Ат-Тахір: Туз: Роман, № 01",1990 - 2000,1993
"Ваттар, Ат-Тахір: Туз: Роман, № 02",1993,"Кафка, Франц: Звіт для академії, № 3/4"
"Грекі, Анна: Поезії, № 03",1990 - 2000,Austria
"Джаут, Тагар: Туманного ранку: Оповідання, № 01",1990 - 2000,German
"Діб, Мохаммед: Поезії, № 10",1990 - 2000,1993
"Єллес, Мурад: Продавець жасмину: Оповідання, № 01",1993,"Кафка, Франц: Мисливець Гракх, № 3/4"
"Креа, Анрі: Весною року 1958... Паризькі квіти розцвітають по в’язницях: Вірш, № 10",1990 - 2000,Austria
"Саадалла, Абу аль-Касим: Алжір говорить: «Ні!»: [Вірш], № 03",1990 - 2000,German
"Салех Алжірський, Абу Абдаллаг: Поезії, № 06",1990 - 2000,1993
"Сенак, Жан: Громадяни краси: Вірш, № 10",1993,"Кафка, Франц: При будові Китайського муру, № 3/4"
"Фелах, Салах: Терниста дорога: Роман, № 07",1990 - 2000,Austria
"Аль-Харфі, Салех ібн-Салех: Трагедія Табасси: [Вірш], № 06",1990 - 2000,German
"Шаїб, Мохаммед: Перепічка: Оповідання, № 01",1990 - 2000,1993
Angola,1993,"Кафка, Франц: Герб міста, № 3/4"
Portuguese,1990 - 2000,Austria
"Андраді, Кошта: Четверта пісня звинувачення: [Вірш], № 11",1990 - 2000,German
"Бенудія: «М» прийде, товаришу: Оповідання, № 08",1990 - 2000,1993
"Круш, Віріату да: Чорна мати: Вірш, № 01",1993,"Кафка, Франц: Відмова, № 3/4"
"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Ми - надія народу: Вірш, № 03",1990 - 2000,Austria
"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Контракт: Поезії, № 05",1990 - 2000,German
"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Поезії, № 11",1990 - 2000,1993
"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Поезії, № 06",1993,"Кафка, Франц: Стерновий, № 3/4"
"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Прощання: Вірш, № 10",1990 - 2000,Austria
"Пепетела: Майомбе: Роман, № 12",1990 - 2000,German
"Пепетела: Муана Пуо: Оповідання, № 08",1990 - 2000,1993
"Роша, Жофре: Оповідання передмість: Хлоп’ята, № 02",1993,"Кафка, Франц: Дзига, № 3/4"
"Роша, Жофре: Лихо старої Тутурі, № 02",1990 - 2000,Austria
"Роша, Жофре: Історія Ве-нансіо Жоао та його шуляка Лукаса Ма-нуеля, № 02",1990 - 2000,German
"Роша, Жофре: Шляхи свободи, № 02",1990 - 2000,1993
"Руй Монтейро, Мануел: Годинник: Оповідання, № 07",1993,"Кафка, Франц: У дорогу: Оповідання, № 3/4"
"Сантуш, Арнадду: Повернення: Вірш, № 11",1960 - 1970,Austria
Argentina,1960 - 1970,German
Spanish,1960 - 1970,1963
"Абалос, Хорхе: Цинік: Новела, № 02",1963,"Кафка, Франц: Кочегар: Розд. з роману «Америка», № 12"
"Аррієта, Рафаель Альберто: Про камені: Вірш, № 8/9",1960 - 1970,Austria
"Банчс, Енріке: Пісенька, № 8/9",1960 - 1970,German
"Боргес(Борхес), Хорхе Луїс: Безсмертний: Новела, № 02",1960 - 1970,1963
"Боргес(Борхес), Хорхе Луїс: Дім Астеріона: Оповідання, № 1/2",1963,"Кафка, Франц: Перевтілення: Оповідання, № 12"
"Боргес(Борхес), Хорхе Луїс: Книга піску: Оповідання, № 04",1960 - 1970,Austria
"Боргес(Борхес), Хорхе Луїс: Оповідання й мініатюри: Нечемний знавець ритуалу Коцукено Суке, № 08",1960 - 1970,German
"Боргес(Борхес), Хорхе Луїс: Теолог після смерті, № 08",1960 - 1970,1963
"Боргес(Борхес), Хорхе Луїс: Зала статуй, № 08",1963,"Кафка, Франц: Верхи на кадобі: Новела, № 12"
"Боргес(Борхес), Хорхе Луїс: Про двох, яким снилось, № 08",1960 - 1970,Austria
"Боргес(Борхес), Хорхе Луїс: Чаклун-недоук, № 08",1960 - 1970,German
"Боргес(Борхес), Хорхе Луїс: Чорнильне дзеркало, № 08",1960 - 1970,1963
"Боргес(Борхес), Хорхе Луїс: Двійник Магомета, № 08",1963,"Кафка, Франц: Перед брамою закону: Урив, з роману «Процес», № 12"
"Боргес(Борхес), Хорхе Луїс: Фінал, № 08",1960 - 1970,Austria
"Боргес(Борхес), Хорхе Луїс: Поезії, № 02",1960 - 1970,German
"Боргес(Борхес), Хорхе Луїс: Рівнини: Вірш, № 8/9",1960 - 1970,1963
"Вальш, Марія Елена: Смерть коня: Вірш, № 8/9",1963,"Кафка, Франц: Імператорське послання: Новела, № 12"
"Гонсалес Туньйон, Рауль: Полька про листівку з картону: Уривок, Вірш, № 8/9",1990 - 2000,Austria
"Давальос, Хайме: Ходімо, люба, на збір тростини: [Вірш], № 8/9",1990 - 2000,German
"Капдевіла, Артуро: Пісня для Буенос-Айреса: (Уривок), № 8/9",1990 - 2000,2000
"Касарес, Адольфо Біой: Незвичайні історії, № 05",2000,"Кафка, Франц: Перевтілення: Оповідання, № 1/2"
"Касарес, Адольфо Біой: Пацюк, або Ключ до поведінки, № 05",1990 - 2000,Austria
"Касарес, Адольфо Біой: Венеціанські маски, № 05",1990 - 2000,German
"Касарес, Адольфо Біой: Трійця, № 05",1990 - 2000,1998
"Касарес, Адольфо Біой: Незвичайна історія, № 05",1998,"Кафка, Франц: Три оповідання: Перше горе, № 5/6"
"Касарес, Адольфо Біой: Шлях до Індій: Оповідання, № 05",1990 - 2000,Austria
"Касерес, Херман: Послуга: Комікс, № 10",1990 - 2000,German
"Касона, Алехандро: Поезії, № 03",1990 - 2000,1998
"Кордова Ітурбуру, Каєтано: Смерть між горами: [Вірш], № 8/9",1998,"Кафка, Франц: Жіночка, № 5/6"
"Кортасар, Хуліо: Захоплений дім: Оповідання, № 11/12",1990 - 2000,Austria
"Кортасар, Хуліо: Кошмари, № 01",1990 - 2000,German
"Кортасар, Хуліо: Котяче бачення, № 01",1990 - 2000,1998
"Кортасар, Хуліо: Іще дещо про сходи, № 01",1998,"Кафка, Франц: Співачка Жозефіна, або Мишачий народ, № 5/6"
"Кортасар, Хуліо: Розбивання крапель, № 01",1990 - 2000,Austria
"Кортасар, Хуліо: Монолог ведмедя, № 01",1990 - 2000,German
"Кортасар, Хуліо: Чудернацький вибір: Оповідання, № 01",1990 - 2000,1999
"Кортасар, Хуліо: Ліліана плаче, № 10/11",1999,"Кіш, Егон Ервін: Витатуйований портрет: Оповідання, № 9/10"
"Кортасар, Хуліо: Рукопис, знайдений у кишені, № 10/11",1920 - 1930,Austria
"Кортасар, Хуліо: Кроки по слідах: Оповідання, № 10/11",1920 - 1930,German
"Кортасар, Хуліо: Оповідання: Таємна зброя, № 06",1920 - 1930,1928
"Кортасар, Хуліо: Вказівки для Джона Хоувелла, № 06",1928,"Кіш, Егон Ервін: Кахетинське червоне: Оповідання, № 34"
"Кортасар, Хуліо: Ліліана плаче, № 06",1990 - 2000,Austria
"Кортасар, Хуліо: Жовта квітка, № 06",1990 - 2000,German
"Кортасар, Хуліо: Літо, № 06",1990 - 2000,1998
"Кортасар, Хуліо: Торіто, № 06",1998,"Майрекер, Фрідеріке: Поезії, № 02"
"Кортасар, Хуліо: Поезії, № 01",1990 - 2000,Austria
"Кортасар, Хуліо: Усі вогні - це вогонь: Новела, № 02",1990 - 2000,German
"Костантіні, Умберто: Про богів, маленьких людей і поліцаїв: Роман, № 07",1990 - 2000,1999
"Куссані, Агустін: Фунт м’яса: П’єса, № 03",1999,"Музіль, Роберт: Гріджія: Новела, № 07"
"Ларра, Рауль: Без перепочинку: Роман, № 02",1990 - 2000,Austria
"Мартіні, Хуан Карлос: Облога: Повість, № 08",1990 - 2000,German
"Молінарі, Рікардо Е: Веласкесівська дівчина: [Вірш], № 11",1990 - 2000,1992
"Огандо, Еміліо М: Як же болиш ти, серце!..: Вірш, № 8/9",1992,"Рансмайр, Крістоф: Останній світ: Роман, № 3/4"
"Оргамбіде, Педро: Зраджений чоловік, № 07",1970 - 1980,Austria
"Оргамбіде, Педро: Парашутист, № 07",1970 - 1980,German
"Оргамбіде, Педро: Ремесло самотності: Оповідання, № 07",1970 - 1980,1973
"Прилуцька-Фарни, Юлія: Антологія кохання: Поезії, № 1/2",1973,"Рільке, Райнер Марія: Дума про кохання і смерть корнета Крістофера Рільке: Поезія в прозі, № 10"
"Соррентіно, Фернандо: Довгоступи: Оповідання, № 06",1970 - 1980,Austria
"Сторні, Альфонсина(Альфонсіна): Можливо: Вірш, № 8/9",1970 - 1980,German
"Сторні, Альфонсина(Альфонсіна): Тu me quieres blanca...:Вірш, № 02",1970 - 1980,1973
"Тьємпо, Сесар (справж. ім’я - Цейтлін Ізраїль): Дівчина із колонії: Вірш, № 8/9",1973,"Рільке, Райнер Марія: Поезії, № 10"
"Форкат, Хуліо Сесар: Чаклун-підмайстер у Чорнобилі: Вірш, № 02",1990 - 2000,Austria
"Хіхена Санчес, Рафаель: Як їхав я з рід-краю: [Вірш], № 8/9",1990 - 2000,German
Afghanistan,1990 - 2000,2000
Dari,2000,"Рільке, Райнер Марія: З дитинства: Вірш, № 7/8"
"Абар, Мір: Поезії, № 08",1960 - 1970,Austria
Pashto,1960 - 1970,German
"Зіяр, Муджавар Ахмад: Поезії, № 03",1960 - 1970,1968
"Кавім, Каюм: Поезії, № 03",1968,"Рільке, Райнер Марія: Поезії, № 02"
"Лаєк, Сулейман: Поезії, № 04",1990 - 2000,Austria
"Нагібі, Абдулла: Поезії, № 04",1990 - 2000,German
"Назімі, Латіф: Поезії, № 03",1990 - 2000,1991
"Таракі, Нур Мухаммед: Поневіряння Банта: Повість, № 06",1991,"Рільке, Райнер Марія: Поезії, № 01"
"Туфані, Сиддик Кавун: Поезії, № 03",1960 - 1970,Austria
"Хабіб, Асадулла: Слово до людини з світу капіталу, № 03",1960 - 1970,German
"Хабіб, Асадулла: Прощання: Вірші, № 03",1960 - 1970,1966
"Хабіб, Кадир: Крізь пекло: Оповідання, № 01",1966,"Рільке, Райнер Марія: Поезії, № 04"
"Хадем, Кіямуддін: Ленін: Вірш, № 10",1980 - 1990,Austria
"Хусейні, Рафат: Голос каменя: Вірш, № 03",1980 - 1990,German
Bangladesh,1980 - 1990,1981
"Бхоттачарджо, Шуканто: Прохачі, № 10",1981,"Рот, Йозеф: Ціппер та його батько: Роман, № 08"
"Бхоттачарджо, Шуканто: Заклик: Поезії, № 10",1970 - 1980,Austria
"Іслам, Нозрул: Поезії, № 10",1970 - 1980,German
"Шабер, Шохід: Образ матері: Поезії, № 10",1970 - 1980,1975
Belgium,1975,"Тракль, Георг: Поезії, № 10"
Flemish,1990 - 2000,Austria
"Акен, Піт Ван: Поснулі собаки: Повість, № 02",1990 - 2000,German
"Ван Лерберг, Шарль: Дар: Вірш, № 3/4",1990 - 2000,1994
"Ванделоо, Йос: Небезпека: Повість, № 10",1994,"Фрід, Еріх: Поезії, № 09"
"Верхарн, Еміль: Гордість: Вірш, № 02",1990 - 2000,Austria
"Верхарн, Еміль: Мій сніп: Вірш, № 10",1990 - 2000,German
"Верхарн, Еміль: На пристані: Вірш, № 10",1990 - 2000,1998
"Верхарн, Еміль: Порт: [Вірш], № 22",1998,"Фрітш, Гергарт: Поезії, № 02"
"Елсхот, Віллєм(Ван-Ріддер): Ми ловимо пташок на клей: Сатир, роман, № 07",1960 - 1970,Austria
"Елсхот, Віллєм (Ван-Ріддер): Ми ловимо пташок на клей: Сатир, роман, № 08",1960 - 1970,German
"Ертай, Жаклін: Поезії, № 04",1960 - 1970,1966
"Жакмен, Франсуа: Поезії, № 04",1966,"Фуссенегер, Гертруда: Тютюновий город: Оповідання, № 11"
"Клаус, Гуґо: Зимовий вечір: П’єса, № 9/10",1930 - 1940,Austria
"Лемоньє, Каміл: Весела проща: Оповідання, № 08",1930 - 1940,-
"Лодомез, Аєтон: Поезії, № 04",1930 - 1940,1932
"Нело, Жіль: Майстер: Новела, № 11/12",1932,"Хайду, Юліус: Новий світ: Урив з кн, № 31/33"
"Пер’є, Оділон-Жан: Поезії, № 02",1980 - 1990,Austria
"Єтецик Ірен: Мазепа, гетьман України: Роман, № 1/2",1980 - 1990,German
"Тесса, Франсіс: Поезії, № 04",1980 - 1990,1988
"Фалкенаре, Жюльєн де: Вибрані афоризми, № 09",1988,"Цвейг, Стефан: Пломбований поїзд: Оповідання: з кн. «Зоряні години людства», № 11"
"Юбен, Крістіан: Поезії, № 04",1960 - 1970,Austria
Benin,1960 - 1970,German
"Асонгба, Ромен: Дійна корова: Алегорія: Поезія, № 01",1960 - 1970,1962
"Суману, Мама: Коли я зможу, № 06",1962,"Цвейг, Стефан: Фрагмент новели: 3 маловідомої спадщини, № 10"
"Суману, Мама: Наша радість: Поезії, № 06",1970 - 1980,Austria
Belarus,1970 - 1980,German
Belarusian,1970 - 1980,1978
"Богданович, Максим: Зів’яли польові квітки: [Вірш], № 43",1978,"Целан, Пауль: Поезії, № 06"
"Гартни, Цішка: Страйколом: Оповідання, № 11",1920 - 1930,Austria
"Колас, Якуб: Поезії, № 11",1920 - 1930,German
"Крапіва, К.А: Чорт: Вірш, № 11",1920 - 1930,1926
"Купала, Янка: З поеми «Без назви», № 11",1926,"Цур Мюлен, Гермінія: Дрібнота: Оповідання, № 03"
Bulgaria,1920 - 1930,Austria
Bulgarian,1920 - 1930,German
"Анастасов, Петр: Поезії, № 01",1920 - 1930,1927
"Андреев, Андрей: Поезії, № 01",1927,"Цур Мюлен, Гермінія: Перлина: Оповідання, № 27"
"Андреев, Веселин: Ленін: Етюд, № 11",1920 - 1930,Austria
"Априлов, Борис: Сходи велетів: Новела, № 04",1920 - 1930,German
"Атанасов, Герчо: Збуди мене в травні: Новела, № 04",1920 - 1930,1927
"Багряна, Єлисавета: Поезії, № 09",1927,"Цур Мюлен, Гермінія: Штепсель: Оповідання, № 41"
"Багряна, Єлисавета: Поезія: [Вірш], № 01",1990 - 2000,Austria
"Банов, Банчо: Оцінка: Вірш, № 09",1990 - 2000,German
"Башев, Володимир (Владимир): Поезії, № 07",1990 - 2000,1994
"Башев, Володимир (Владимир): Поезії, № 09",1994,"Яндль, Ернст: Поезії, № 09"
"Башев, Володимир (Владимир): Спрага: Вірш, № 09",1990 - 2000,Austria
"Белев, Кристо: Полум’я свободи: 3 поеми про Леніна, № 04",1990 - 2000,German
"Божилов, Божидар: Димитров: Вірш, № 09",1990 - 2000,1998
"Бонев, Петер: Життя в простому обчисленні: Оповідання, № 10/11",1998,"Яндль, Ернст: Поезії, № 02"
"Ботев, Христо: Поезії, № 04",1960 - 1970,Albania
"Ботев, Христо: Поезії, № 3/4",1960 - 1970,Albanian
"Ботев, Христо: Хаджі Димитр: Вірш, № 12",1960 - 1970,1961
"Бумов, Радослав: «Відкладіть ювілей...», «Ходив сумний, похнюплений...»: Вірші, № 09",1961,"Буджелі, Каміль: Королівський кінь і нові вершники: Роман(скорочено), № 06"
"Бурнаскі, Евстаті: Запізніла троянда: Вірш, № 03",1960 - 1970,Albania
"Вазов, Іван: Поезії, № 05",1960 - 1970,Albanian
"Вазов, Іван: Поезії, № 01",1960 - 1970,1961
"Вапцаров, Никола: Горький: Вірш, № 11",1961,"Буджелі, Каміль: Королівський кінь і нові вершники: Роман(скорочено), № 07"
"Вапцаров, Никола: Поезії, № 09",1960 - 1970,Albania
"Василев, Димитр: Світлий образ: Вірш, № 04",1960 - 1970,Albanian
"Василев(Василеві), Орлин: Вражене серце: Оповідання, № 05",1960 - 1970,1960
"Василев(Василеві), Орлин: Серце стукає в дверцята...: Оповідання, № 09",1960,"Д’ята, Фатмір: Жовті води: Оповідання, № 01"
"Вежинов, Павел: Бар’єр: Повість, № 02",1960 - 1970,Albania
"Вежинов, Павел: Зустрічі: Оповідання, № 05",1960 - 1970,-
"Вежинов, Павел: Коли ти в човні...: Повість, № 04",1960 - 1970,1960
"Вежинов, Павел: Терези: Роман, № 03",1960,"Щощ, А: Останнє слово, № 05"
"Вежинов, Павел: Терези: Роман, № 04",1960 - 1970,Albania
"Вежинов, Павел: Що скажуть люди: Оповідання, № 03",1960 - 1970,-
"Величков, Георгій: Продуктів у холодильнику на п’ятьох: Оповідання, № 5/6",1960 - 1970,1960
"Велков, Крум: «Біографія»: Вірш, № 09",1960,"Щощ, А: Роздавач премій, № 05"
"Вилчев, Найден: Невідомий лейтенант: Вірш, № 05",1960 - 1970,Albania
"Габе, Дора: Поезії, № 02",1960 - 1970,-
"Габе, Дора: Поезії, № 01",1960 - 1970,1960
"Габе, Дора: Смерть Вели: Вірш, № 09",1960,"Щощ, А: Не залякаєш: Епіграми, № 05"
"Габе, Дора: Червоноармієць: Вірш, № 05",1970 - 1980,Algeria
