id,source,link
79,1960,"Фокс, Лен: Пісенька про зрошення полів у В’єтнамі, № 04"
80,1960 - 1970,Australia
81,1960 - 1970,English
82,1960 - 1970,1960
83,1960,"Фокс, Лен: Колискова-бамбукова: Вірші, № 04"
84,1980 - 1990,Australia
85,1980 - 1990,English
86,1980 - 1990,1986
87,1986,"Форшоу, Тельма: Демонстрація: Оповідання, № 11"
88,1980 - 1990,Australia
89,1980 - 1990,English
90,1980 - 1990,1981
91,1981,"Шеппард, Тріш: Діти сліпоти: Роман, № 12"
92,1970 - 1980,Austria
93,1970 - 1980,German
94,1970 - 1980,1976
95,1976,"Абрагам А Санта Клара: Опівнічні музики: Вірш, № 03"
96,1990 - 2000,Austria
97,1990 - 2000,German
98,1990 - 2000,1998
99,1998,"Артманн, Ганс Карл: Поезії, № 02"
100,1990 - 2000,Austria
101,1990 - 2000,German
102,1990 - 2000,1998
103,1998,"Бахманн, Інгеборг: Поезії, № 02"
104,1990 - 2000,Austria
105,1990 - 2000,German
106,1990 - 2000,1991
107,1991,"Бернгард, Томас: Три дні: Оповідання, № 04"
108,1990 - 2000,Austria
109,1990 - 2000,German
110,1990 - 2000,1998
111,1998,"Буста, Крістіна: Поезії, № 02"
112,1980 - 1990,Austria
113,1980 - 1990,German
114,1980 - 1990,1980
115,1980,"Гандке(Хацдке), Петер: Жінка-лівша: Повість, № 02"
116,1990 - 2000,Austria
117,1990 - 2000,German
118,1990 - 2000,1998
119,1998,"Гандке(Хацдке), Петер: Поезії, № 02"
120,1990 - 2000,Austria
121,1990 - 2000,German
122,1990 - 2000,1994
123,1994,"Захер-Мазох, Леопольд фон: Дон Жуан з Коломиї: Повість, № 03"
124,1990 - 2000,Austria
125,1990 - 2000,German
126,1990 - 2000,1994
127,1994,"Захер-Мазох, Леопольд фон: Жіночі образки з Галичини: Оповідання, № 03"
128,1980 - 1990,Austria
129,1980 - 1990,German
130,1980 - 1990,1984
131,1984,"Кайн, Франц: Дорога до гірського озера: Оповідання, № 05"
132,1970 - 1980,Austria
133,1970 - 1980,German
134,1970 - 1980,1973
135,1973,"Кайн, Франц: Сонет місту Леніна, № 11"
136,1990 - 2000,Austria
137,1990 - 2000,German
138,1990 - 2000,1990
139,1990,"Каснер, Рудольф: Притчі, № 03"
140,1990 - 2000,Austria
141,1990 - 2000,German
142,1990 - 2000,1993
143,1993,"Кафка, Франц: Вирок, № 3/4"
144,1990 - 2000,Austria
145,1990 - 2000,German
146,1990 - 2000,1993
147,1993,"Кафка, Франц: Сільський лікар, № 3/4"
148,1990 - 2000,Austria
149,1990 - 2000,German
150,1990 - 2000,1993
151,1993,"Кафка, Франц: Старовинний рукопис, № 3/4"
152,1990 - 2000,Austria
153,1990 - 2000,German
154,1990 - 2000,1993
155,1993,"Кафка, Франц: Перед законом, № 3/4"
156,1990 - 2000,Austria
157,1990 - 2000,German
158,1990 - 2000,1993
159,1993,"Кафка, Франц: Шакали і араби, № 3/4"
160,1990 - 2000,Austria
161,1990 - 2000,German
162,1990 - 2000,1993
163,1993,"Кафка, Франц: Звіт для академії, № 3/4"
164,1990 - 2000,Austria
165,1990 - 2000,German
166,1990 - 2000,1993
167,1993,"Кафка, Франц: Мисливець Гракх, № 3/4"
168,1990 - 2000,Austria
169,1990 - 2000,German
170,1990 - 2000,1993
171,1993,"Кафка, Франц: При будові Китайського муру, № 3/4"
172,1990 - 2000,Austria
173,1990 - 2000,German
174,1990 - 2000,1993
175,1993,"Кафка, Франц: Герб міста, № 3/4"
176,1990 - 2000,Austria
177,1990 - 2000,German
178,1990 - 2000,1993
179,1993,"Кафка, Франц: Відмова, № 3/4"
180,1990 - 2000,Austria
181,1990 - 2000,German
182,1990 - 2000,1993
183,1993,"Кафка, Франц: Стерновий, № 3/4"
184,1990 - 2000,Austria
185,1990 - 2000,German
186,1990 - 2000,1993
187,1993,"Кафка, Франц: Дзига, № 3/4"
188,1990 - 2000,Austria
189,1990 - 2000,German
190,1990 - 2000,1993
191,1993,"Кафка, Франц: У дорогу: Оповідання, № 3/4"
192,1960 - 1970,Austria
193,1960 - 1970,German
194,1960 - 1970,1963
195,1963,"Кафка, Франц: Кочегар: Розд. з роману «Америка», № 12"
196,1960 - 1970,Austria
197,1960 - 1970,German
198,1960 - 1970,1963
199,1963,"Кафка, Франц: Перевтілення: Оповідання, № 12"
200,1960 - 1970,Austria
201,1960 - 1970,German
202,1960 - 1970,1963
203,1963,"Кафка, Франц: Верхи на кадобі: Новела, № 12"
204,1960 - 1970,Austria
205,1960 - 1970,German
206,1960 - 1970,1963
207,1963,"Кафка, Франц: Перед брамою закону: Урив, з роману «Процес», № 12"
208,1960 - 1970,Austria
209,1960 - 1970,German
210,1960 - 1970,1963
211,1963,"Кафка, Франц: Імператорське послання: Новела, № 12"
212,1990 - 2000,Austria
213,1990 - 2000,German
214,1990 - 2000,2000
215,2000,"Кафка, Франц: Перевтілення: Оповідання, № 1/2"
216,1990 - 2000,Austria
217,1990 - 2000,German
218,1990 - 2000,1998
219,1998,"Кафка, Франц: Три оповідання: Перше горе, № 5/6"
220,1990 - 2000,Austria
221,1990 - 2000,German
222,1990 - 2000,1998
223,1998,"Кафка, Франц: Жіночка, № 5/6"
224,1990 - 2000,Austria
225,1990 - 2000,German
226,1990 - 2000,1998
227,1998,"Кафка, Франц: Співачка Жозефіна, або Мишачий народ, № 5/6"
228,1990 - 2000,Austria
229,1990 - 2000,German
230,1990 - 2000,1999
231,1999,"Кіш, Егон Ервін: Витатуйований портрет: Оповідання, № 9/10"
232,1920 - 1930,Austria
233,1920 - 1930,German
234,1920 - 1930,1928
235,1928,"Кіш, Егон Ервін: Кахетинське червоне: Оповідання, № 34"
236,1990 - 2000,Austria
237,1990 - 2000,German
238,1990 - 2000,1998
239,1998,"Майрекер, Фрідеріке: Поезії, № 02"
240,1990 - 2000,Austria
241,1990 - 2000,German
242,1990 - 2000,1999
243,1999,"Музіль, Роберт: Гріджія: Новела, № 07"
244,1990 - 2000,Austria
245,1990 - 2000,German
246,1990 - 2000,1992
247,1992,"Рансмайр, Крістоф: Останній світ: Роман, № 3/4"
248,1970 - 1980,Austria
249,1970 - 1980,German
250,1970 - 1980,1973
251,1973,"Рільке, Райнер Марія: Дума про кохання і смерть корнета Крістофера Рільке: Поезія в прозі, № 10"
252,1970 - 1980,Austria
253,1970 - 1980,German
254,1970 - 1980,1973
255,1973,"Рільке, Райнер Марія: Поезії, № 10"
256,1990 - 2000,Austria
257,1990 - 2000,German
258,1990 - 2000,2000
259,2000,"Рільке, Райнер Марія: З дитинства: Вірш, № 7/8"
260,1960 - 1970,Austria
261,1960 - 1970,German
262,1960 - 1970,1968
263,1968,"Рільке, Райнер Марія: Поезії, № 02"
264,1990 - 2000,Austria
265,1990 - 2000,German
266,1990 - 2000,1991
267,1991,"Рільке, Райнер Марія: Поезії, № 01"
268,1960 - 1970,Austria
269,1960 - 1970,German
270,1960 - 1970,1966
271,1966,"Рільке, Райнер Марія: Поезії, № 04"
272,1980 - 1990,Austria
273,1980 - 1990,German
274,1980 - 1990,1981
275,1981,"Рот, Йозеф: Ціппер та його батько: Роман, № 08"
276,1970 - 1980,Austria
277,1970 - 1980,German
278,1970 - 1980,1975
279,1975,"Тракль, Георг: Поезії, № 10"
280,1990 - 2000,Austria
281,1990 - 2000,German
282,1990 - 2000,1994
283,1994,"Фрід, Еріх: Поезії, № 09"
284,1990 - 2000,Austria
285,1990 - 2000,German
286,1990 - 2000,1998
287,1998,"Фрітш, Гергарт: Поезії, № 02"
288,1960 - 1970,Austria
289,1960 - 1970,German
290,1960 - 1970,1966
291,1966,"Фуссенегер, Гертруда: Тютюновий город: Оповідання, № 11"
292,1930 - 1940,Austria
293,1930 - 1940,-
294,1930 - 1940,1932
295,1932,"Хайду, Юліус: Новий світ: Урив з кн, № 31/33"
296,1980 - 1990,Austria
297,1980 - 1990,German
298,1980 - 1990,1988
299,1988,"Цвейг, Стефан: Пломбований поїзд: Оповідання: з кн. «Зоряні години людства», № 11"
300,1960 - 1970,Austria
301,1960 - 1970,German
302,1960 - 1970,1962
303,1962,"Цвейг, Стефан: Фрагмент новели: 3 маловідомої спадщини, № 10"
304,1970 - 1980,Austria
305,1970 - 1980,German
306,1970 - 1980,1978
307,1978,"Целан, Пауль: Поезії, № 06"
308,1920 - 1930,Austria
309,1920 - 1930,German
310,1920 - 1930,1926
311,1926,"Цур Мюлен, Гермінія: Дрібнота: Оповідання, № 03"
312,1920 - 1930,Austria
313,1920 - 1930,German
314,1920 - 1930,1927
315,1927,"Цур Мюлен, Гермінія: Перлина: Оповідання, № 27"
316,1920 - 1930,Austria
317,1920 - 1930,German
318,1920 - 1930,1927
319,1927,"Цур Мюлен, Гермінія: Штепсель: Оповідання, № 41"
320,1990 - 2000,Austria
321,1990 - 2000,German
322,1990 - 2000,1994
323,1994,"Яндль, Ернст: Поезії, № 09"
324,1990 - 2000,Austria
325,1990 - 2000,German
326,1990 - 2000,1998
327,1998,"Яндль, Ернст: Поезії, № 02"
328,1960 - 1970,Albania
329,1960 - 1970,Albanian
330,1960 - 1970,1961
331,1961,"Буджелі, Каміль: Королівський кінь і нові вершники: Роман(скорочено), № 06"
332,1960 - 1970,Albania
333,1960 - 1970,Albanian
334,1960 - 1970,1961
335,1961,"Буджелі, Каміль: Королівський кінь і нові вершники: Роман(скорочено), № 07"
336,1960 - 1970,Albania
337,1960 - 1970,Albanian
338,1960 - 1970,1960
339,1960,"Д’ята, Фатмір: Жовті води: Оповідання, № 01"
340,1960 - 1970,Albania
341,1960 - 1970,-
342,1960 - 1970,1960
343,1960,"Щощ, А: Останнє слово, № 05"
344,1960 - 1970,Albania
345,1960 - 1970,-
346,1960 - 1970,1960
347,1960,"Щощ, А: Роздавач премій, № 05"
348,1960 - 1970,Albania
349,1960 - 1970,-
350,1960 - 1970,1960
351,1960,"Щощ, А: Не залякаєш: Епіграми, № 05"
352,1970 - 1980,Algeria
353,1970 - 1980,French
354,1970 - 1980,1972
355,1972,"Амруш, Жан: Алжірська боротьба: Вірш, № 10"
356,1970 - 1980,Algeria
357,1970 - 1980,French
358,1970 - 1980,1976
359,1976,"Ашур, Мулуд: Сенс Життя: Оповідання, № 01"
360,1970 - 1980,Algeria
361,1970 - 1980,French
362,1970 - 1980,1979
363,1979,"Булануар, Мессаур: Вступ: Вірш, № 06"
364,1980 - 1990,Algeria
365,1980 - 1990,Arabic
366,1980 - 1990,1988
367,1988,"Ваттар, Ат-Тахір: Весілля мула: Роман, № 03"
368,1980 - 1990,Algeria
369,1980 - 1990,Arabic
370,1980 - 1990,1980
371,1980,"Ваттар, Ат-Тахір: Туз: Роман, № 01"
372,1980 - 1990,Algeria
373,1980 - 1990,Arabic
374,1980 - 1990,1980
375,1980,"Ваттар, Ат-Тахір: Туз: Роман, № 02"
376,1980 - 1990,Algeria
377,1980 - 1990,French
378,1980 - 1990,1980
379,1980,"Грекі, Анна: Поезії, № 03"
380,1970 - 1980,Algeria
381,1970 - 1980,French
382,1970 - 1980,1976
383,1976,"Джаут, Тагар: Туманного ранку: Оповідання, № 01"
384,1970 - 1980,Algeria
385,1970 - 1980,French
386,1970 - 1980,1972
387,1972,"Діб, Мохаммед: Поезії, № 10"
388,1970 - 1980,Algeria
389,1970 - 1980,French
390,1970 - 1980,1976
391,1976,"Єллес, Мурад: Продавець жасмину: Оповідання, № 01"
392,1970 - 1980,Algeria
393,1970 - 1980,French
394,1970 - 1980,1972
395,1972,"Креа, Анрі: Весною року 1958... Паризькі квіти розцвітають по в’язницях: Вірш, № 10"
396,1970 - 1980,Algeria
397,1970 - 1980,-
398,1970 - 1980,1970
399,1970,"Саадалла, Абу аль-Касим: Алжір говорить: «Ні!»: [Вірш], № 03"
400,1950 - 1960,Algeria
401,1950 - 1960,Arabic
402,1950 - 1960,1959
403,1959,"Салех Алжірський, Абу Абдаллаг: Поезії, № 06"
404,1970 - 1980,Algeria
405,1970 - 1980,French
406,1970 - 1980,1972
407,1972,"Сенак, Жан: Громадяни краси: Вірш, № 10"
408,1970 - 1980,Algeria
409,1970 - 1980,French
410,1970 - 1980,1977
411,1977,"Фелах, Салах: Терниста дорога: Роман, № 07"
412,1950 - 1960,Algeria
413,1950 - 1960,Arabic
414,1950 - 1960,1959
415,1959,"Аль-Харфі, Салех ібн-Салех: Трагедія Табасси: [Вірш], № 06"
416,1970 - 1980,Algeria
417,1970 - 1980,French
418,1970 - 1980,1976
419,1976,"Шаїб, Мохаммед: Перепічка: Оповідання, № 01"
420,1970 - 1980,Angola
421,1970 - 1980,Portuguese
422,1970 - 1980,1974
423,1974,"Андраді, Кошта: Четверта пісня звинувачення: [Вірш], № 11"
424,1980 - 1990,Angola
425,1980 - 1990,Portuguese
426,1980 - 1990,1984
427,1984,"Бенудія: «М» прийде, товаришу: Оповідання, № 08"
428,1950 - 1960,Angola
429,1950 - 1960,Portuguese
430,1950 - 1960,1959
431,1959,"Круш, Віріату да: Чорна мати: Вірш, № 01"
432,1970 - 1980,Angola
433,1970 - 1980,Portuguese
434,1970 - 1980,1970
435,1970,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Ми - надія народу: Вірш, № 03"
436,1970 - 1980,Angola
437,1970 - 1980,Portuguese
438,1970 - 1980,1972
439,1972,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Контракт: Поезії, № 05"
440,1970 - 1980,Angola
441,1970 - 1980,Portuguese
442,1970 - 1980,1974
443,1974,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Поезії, № 11"
444,1970 - 1980,Angola
445,1970 - 1980,Portuguese
446,1970 - 1980,1979
447,1979,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Поезії, № 06"
448,1960 - 1970,Angola
449,1960 - 1970,French
450,1960 - 1970,1961
451,1961,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Прощання: Вірш, № 10"
452,1980 - 1990,Angola
453,1980 - 1990,Portuguese
454,1980 - 1990,1985
455,1985,"Пепетела: Майомбе: Роман, № 12"
456,1980 - 1990,Angola
457,1980 - 1990,Portuguese
458,1980 - 1990,1984
459,1984,"Пепетела: Муана Пуо: Оповідання, № 08"
460,1980 - 1990,Angola
461,1980 - 1990,Portuguese
462,1980 - 1990,1981
463,1981,"Роша, Жофре: Оповідання передмість: Хлоп’ята, № 02"
464,1980 - 1990,Angola
465,1980 - 1990,Portuguese
466,1980 - 1990,1981
467,1981,"Роша, Жофре: Лихо старої Тутурі, № 02"
468,1980 - 1990,Angola
469,1980 - 1990,Portuguese
470,1980 - 1990,1981
471,1981,"Роша, Жофре: Історія Ве-нансіо Жоао та його шуляка Лукаса Ма-нуеля, № 02"
472,1980 - 1990,Angola
473,1980 - 1990,Portuguese
474,1980 - 1990,1981
475,1981,"Роша, Жофре: Шляхи свободи, № 02"
476,1970 - 1980,Angola
477,1970 - 1980,Portuguese
478,1970 - 1980,1979
479,1979,"Руй Монтейро, Мануел: Годинник: Оповідання, № 07"
480,1970 - 1980,Angola
481,1970 - 1980,Portuguese
482,1970 - 1980,1974
483,1974,"Сантуш, Арнадду: Повернення: Вірш, № 11"
484,1970 - 1980,Argentina
485,1970 - 1980,Spanish
486,1970 - 1980,1976
487,1976,"Абалос, Хорхе: Цинік: Новела, № 02"
488,1990 - 2000,Argentina
489,1990 - 2000,Spanish
490,1990 - 2000,1997
491,1997,"Аррієта, Рафаель Альберто: Про камені: Вірш, № 8/9"
492,1990 - 2000,Argentina
493,1990 - 2000,Spanish
494,1990 - 2000,1997
495,1997,"Банчс, Енріке: Пісенька, № 8/9"
496,1970 - 1980,Argentina
497,1970 - 1980,Spanish
498,1970 - 1980,1976
499,1976,"Боргес(Борхес), Хорхе Луїс: Безсмертний: Новела, № 02"
500,1990 - 2000,Argentina
501,1990 - 2000,Spanish
502,1990 - 2000,2000
503,2000,"Боргес(Борхес), Хорхе Луїс: Дім Астеріона: Оповідання, № 1/2"
504,1980 - 1990,Argentina
505,1980 - 1990,Spanish
506,1980 - 1990,1988
507,1988,"Боргес(Борхес), Хорхе Луїс: Книга піску: Оповідання, № 04"
508,1980 - 1990,Argentina
509,1980 - 1990,Spanish
510,1980 - 1990,1989
511,1989,"Боргес(Борхес), Хорхе Луїс: Оповідання й мініатюри: Нечемний знавець ритуалу Коцукено Суке, № 08"
512,1980 - 1990,Argentina
513,1980 - 1990,Spanish
514,1980 - 1990,1989
515,1989,"Боргес(Борхес), Хорхе Луїс: Теолог після смерті, № 08"
516,1980 - 1990,Argentina
517,1980 - 1990,Spanish
518,1980 - 1990,1989
519,1989,"Боргес(Борхес), Хорхе Луїс: Зала статуй, № 08"
520,1980 - 1990,Argentina
521,1980 - 1990,Spanish
522,1980 - 1990,1989
523,1989,"Боргес(Борхес), Хорхе Луїс: Про двох, яким снилось, № 08"
524,1980 - 1990,Argentina
525,1980 - 1990,Spanish
526,1980 - 1990,1989
527,1989,"Боргес(Борхес), Хорхе Луїс: Чаклун-недоук, № 08"
528,1980 - 1990,Argentina
529,1980 - 1990,Spanish
530,1980 - 1990,1989
531,1989,"Боргес(Борхес), Хорхе Луїс: Чорнильне дзеркало, № 08"
532,1980 - 1990,Argentina
533,1980 - 1990,Spanish
534,1980 - 1990,1989
535,1989,"Боргес(Борхес), Хорхе Луїс: Двійник Магомета, № 08"
536,1980 - 1990,Argentina
537,1980 - 1990,Spanish
538,1980 - 1990,1989
539,1989,"Боргес(Борхес), Хорхе Луїс: Фінал, № 08"
540,1990 - 2000,Argentina
541,1990 - 2000,Spanish
542,1990 - 2000,1993
543,1993,"Боргес(Борхес), Хорхе Луїс: Поезії, № 02"
544,1990 - 2000,Argentina
545,1990 - 2000,Spanish
546,1990 - 2000,1997
547,1997,"Боргес(Борхес), Хорхе Луїс: Рівнини: Вірш, № 8/9"
548,1990 - 2000,Argentina
549,1990 - 2000,Spanish
550,1990 - 2000,1997
551,1997,"Вальш, Марія Елена: Смерть коня: Вірш, № 8/9"
552,1990 - 2000,Argentina
553,1990 - 2000,Spanish
554,1990 - 2000,1997
555,1997,"Гонсалес Туньйон, Рауль: Полька про листівку з картону: Уривок, Вірш, № 8/9"
556,1990 - 2000,Argentina
557,1990 - 2000,Spanish
558,1990 - 2000,1997
559,1997,"Давальос, Хайме: Ходімо, люба, на збір тростини: [Вірш], № 8/9"
560,1990 - 2000,Argentina
561,1990 - 2000,Spanish
562,1990 - 2000,1997
563,1997,"Капдевіла, Артуро: Пісня для Буенос-Айреса: (Уривок), № 8/9"
564,1990 - 2000,Argentina
565,1990 - 2000,Spanish
566,1990 - 2000,1991
567,1991,"Касарес, Адольфо Біой: Незвичайні історії, № 05"
568,1990 - 2000,Argentina
569,1990 - 2000,Spanish
570,1990 - 2000,1991
571,1991,"Касарес, Адольфо Біой: Пацюк, або Ключ до поведінки, № 05"
572,1990 - 2000,Argentina
573,1990 - 2000,Spanish
574,1990 - 2000,1991
575,1991,"Касарес, Адольфо Біой: Венеціанські маски, № 05"
576,1990 - 2000,Argentina
577,1990 - 2000,Spanish
578,1990 - 2000,1991
579,1991,"Касарес, Адольфо Біой: Трійця, № 05"
580,1990 - 2000,Argentina
581,1990 - 2000,Spanish
582,1990 - 2000,1991
583,1991,"Касарес, Адольфо Біой: Незвичайна історія, № 05"
584,1990 - 2000,Argentina
585,1990 - 2000,Spanish
586,1990 - 2000,1991
587,1991,"Касарес, Адольфо Біой: Шлях до Індій: Оповідання, № 05"
588,1990 - 2000,Argentina
589,1990 - 2000,Spanish
590,1990 - 2000,1990
591,1990,"Касерес, Херман: Послуга: Комікс, № 10"
592,1990 - 2000,Argentina
593,1990 - 2000,Spanish
594,1990 - 2000,1994
595,1994,"Касона, Алехандро: Поезії, № 03"
596,1990 - 2000,Argentina
597,1990 - 2000,Spanish
598,1990 - 2000,1997
599,1997,"Кордова Ітурбуру, Каєтано: Смерть між горами: [Вірш], № 8/9"
600,1990 - 2000,Argentina
601,1990 - 2000,Spanish
602,1990 - 2000,1999
603,1999,"Кортасар, Хуліо: Захоплений дім: Оповідання, № 11/12"
604,1980 - 1990,Argentina
605,1980 - 1990,Spanish
606,1980 - 1990,1989
607,1989,"Кортасар, Хуліо: Кошмари, № 01"
608,1980 - 1990,Argentina
609,1980 - 1990,Spanish
610,1980 - 1990,1989
611,1989,"Кортасар, Хуліо: Котяче бачення, № 01"
612,1980 - 1990,Argentina
613,1980 - 1990,Spanish
614,1980 - 1990,1989
615,1989,"Кортасар, Хуліо: Іще дещо про сходи, № 01"
616,1980 - 1990,Argentina
617,1980 - 1990,Spanish
618,1980 - 1990,1989
619,1989,"Кортасар, Хуліо: Розбивання крапель, № 01"
620,1980 - 1990,Argentina
621,1980 - 1990,Spanish
622,1980 - 1990,1989
623,1989,"Кортасар, Хуліо: Монолог ведмедя, № 01"
624,1980 - 1990,Argentina
625,1980 - 1990,Spanish
626,1980 - 1990,1989
627,1989,"Кортасар, Хуліо: Чудернацький вибір: Оповідання, № 01"
628,1990 - 2000,Argentina
629,1990 - 2000,Spanish
630,1990 - 2000,1996
631,1996,"Кортасар, Хуліо: Ліліана плаче, № 10/11"
632,1990 - 2000,Argentina
633,1990 - 2000,Spanish
634,1990 - 2000,1996
635,1996,"Кортасар, Хуліо: Рукопис, знайдений у кишені, № 10/11"
636,1990 - 2000,Argentina
637,1990 - 2000,Spanish
638,1990 - 2000,1996
639,1996,"Кортасар, Хуліо: Кроки по слідах: Оповідання, № 10/11"
640,1980 - 1990,Argentina
641,1980 - 1990,-
642,1980 - 1990,1981
643,1981,"Кортасар, Хуліо: Оповідання: Таємна зброя, № 06"
644,1980 - 1990,Argentina
645,1980 - 1990,-
646,1980 - 1990,1981
647,1981,"Кортасар, Хуліо: Вказівки для Джона Хоувелла, № 06"
648,1980 - 1990,Argentina
649,1980 - 1990,-
650,1980 - 1990,1981
651,1981,"Кортасар, Хуліо: Ліліана плаче, № 06"
652,1980 - 1990,Argentina
653,1980 - 1990,-
654,1980 - 1990,1981
655,1981,"Кортасар, Хуліо: Жовта квітка, № 06"
656,1980 - 1990,Argentina
657,1980 - 1990,-
658,1980 - 1990,1981
659,1981,"Кортасар, Хуліо: Літо, № 06"
660,1980 - 1990,Argentina
661,1980 - 1990,-
662,1980 - 1990,1981
663,1981,"Кортасар, Хуліо: Торіто, № 06"
664,1980 - 1990,Argentina
665,1980 - 1990,Spanish
666,1980 - 1990,1989
667,1989,"Кортасар, Хуліо: Поезії, № 01"
668,1970 - 1980,Argentina
669,1970 - 1980,Spanish
670,1970 - 1980,1976
671,1976,"Кортасар, Хуліо: Усі вогні - це вогонь: Новела, № 02"
672,1980 - 1990,Argentina
673,1980 - 1990,Spanish
674,1980 - 1990,1983
675,1983,"Костантіні, Умберто: Про богів, маленьких людей і поліцаїв: Роман, № 07"
676,1950 - 1960,Argentina
677,1950 - 1960,Spanish
678,1950 - 1960,1958
679,1958,"Куссані, Агустін: Фунт м’яса: П’єса, № 03"
680,1950 - 1960,Argentina
681,1950 - 1960,Spanish
682,1950 - 1960,1959
683,1959,"Ларра, Рауль: Без перепочинку: Роман, № 02"
684,1980 - 1990,Argentina
685,1980 - 1990,Spanish
686,1980 - 1990,1987
687,1987,"Мартіні, Хуан Карлос: Облога: Повість, № 08"
688,1980 - 1990,Argentina
689,1980 - 1990,Spanish
690,1980 - 1990,1988
691,1988,"Молінарі, Рікардо Е: Веласкесівська дівчина: [Вірш], № 11"
692,1990 - 2000,Argentina
693,1990 - 2000,Spanish
694,1990 - 2000,1997
695,1997,"Огандо, Еміліо М: Як же болиш ти, серце!..: Вірш, № 8/9"
696,1980 - 1990,Argentina
697,1980 - 1990,Spanish
698,1980 - 1990,1985
699,1985,"Оргамбіде, Педро: Зраджений чоловік, № 07"
700,1980 - 1990,Argentina
701,1980 - 1990,Spanish
702,1980 - 1990,1985
703,1985,"Оргамбіде, Педро: Парашутист, № 07"
704,1980 - 1990,Argentina
705,1980 - 1990,Spanish
706,1980 - 1990,1985
707,1985,"Оргамбіде, Педро: Ремесло самотності: Оповідання, № 07"
708,1990 - 2000,Argentina
709,1990 - 2000,Spanish
710,1990 - 2000,2000
711,2000,"Прилуцька-Фарни, Юлія: Антологія кохання: Поезії, № 1/2"
712,1980 - 1990,Argentina
713,1980 - 1990,Spanish
714,1980 - 1990,1983
715,1983,"Соррентіно, Фернандо: Довгоступи: Оповідання, № 06"
716,1990 - 2000,Argentina
717,1990 - 2000,Spanish
718,1990 - 2000,1997
719,1997,"Сторні, Альфонсина(Альфонсіна): Можливо: Вірш, № 8/9"
720,1990 - 2000,Argentina
721,1990 - 2000,Spanish
722,1990 - 2000,1993
723,1993,"Сторні, Альфонсина(Альфонсіна): Тu me quieres blanca...:Вірш, № 02"
724,1990 - 2000,Argentina
725,1990 - 2000,Spanish
