id,source,target,color
1982,1980 - 1990,1986,#E59248
1933,1986,"Оуклі, Баррі: Авіалист із Центральної Австралії: Оповідання, № 11",#F2A2A12
1929,1980 - 1990,Australia,#84B5B4
1930,1980 - 1990,English,#84B5B3
1931,1980 - 1990,1986,#84B5B3
1925,1986,"Палмер, Вене: Пташка-райдуга: Оповідання, № 11",#D1605E
Australia,1980 - 1990,Australia,#E59245
English,1980 - 1990,English,#F2A2A9
"Вайт(Уайт), Патрік: Жіноча рука: Повість, № 12",1980 - 1990,1986,#84B5B4
"Вайт(Уайт), Патрік: Повне черево: Оповідання, № 5/6",1986,"Стайвенс, Дель: Динго: Оповідання, № 11",#D1605E
"Емері, Джон: Соснова ущелина: Оповідання, № 11",1980 - 1990,Australia,#E59246
"Кейсі, Гевін: Голос земної глибіні: Оповідання, № 11",1980 - 1990,English,#F2A2A10
"Кері, Пітер: Американські мрії: Оповідання, № 11",1980 - 1990,1986,#84B5B2
"К’юсак, Дімфна: Літо в Берліні: Роман, № 10",1986,"Уотен, Джуда: З революційного життя: Роман, № 02",#84B5B1
"К’юсак, Дімфна: Літо в Берліні: Роман, № 11",1980 - 1990,Australia,#D1605E
"Маршалл, Алан: Четверо у святкових костюмах: Оповідання, № 11",1980 - 1990,English,#E59246
"Маршалл, Алан: Я навчився стрибати через калюжі: Повість, № 04",1980 - 1990,1986,#F2A2A10
"Моррісон, Джон: Зустріч: Оповідання, № 04",1986,"Уотен, Джуда: З революційного життя: Роман, № 03",#84B5B5
"Моррісон, Джон: Світ чоловіків: Оповідання, № 11",1970 - 1980,Australia,#D1605E
"Моррісон, Р. Г: Поезії, № 04",1970 - 1980,English,#E59247
"О’Грейді, Десмонд: Барбекю: Оповідання, № 11",1970 - 1980,1978,#F2A2A11
"Оуклі, Баррі: Авіалист із Центральної Австралії: Оповідання, № 11",1978,"Філіпсон, Ніл: Як усі люди: Роман, № 11",#84B5B3
"Палмер, Вене: Пташка-райдуга: Оповідання, № 11",1960 - 1970,Australia,#84B5B2
"Стайвенс, Дель: Динго: Оповідання, № 11",1960 - 1970,English,#D1605E
"Уотен, Джуда: З революційного життя: Роман, № 02",1960 - 1970,1960,#E59247
"Уотен, Джуда: З революційного життя: Роман, № 03",1960,"Фокс, Лен: Пісенька про зрошення полів у В’єтнамі, № 04",#F2A2A11
"Філіпсон, Ніл: Як усі люди: Роман, № 11",1960 - 1970,Australia,#84B5B6
"Фокс, Лен: Пісенька про зрошення полів у В’єтнамі, № 04",1960 - 1970,English,#D1605E
"Фокс, Лен: Колискова-бамбукова: Вірші, № 04",1960 - 1970,1960,#E59248
"Форшоу, Тельма: Демонстрація: Оповідання, № 11",1960,"Фокс, Лен: Колискова-бамбукова: Вірші, № 04",#F2A2A12
"Шеппард, Тріш: Діти сліпоти: Роман, № 12",1980 - 1990,Australia,#84B5B3
Austria,1980 - 1990,English,#D1605E
German,1980 - 1990,1986,#E59245
"Абрагам А Санта Клара: Опівнічні музики: Вірш, № 03",1986,"Форшоу, Тельма: Демонстрація: Оповідання, № 11",#F2A2A9
"Артманн, Ганс Карл: Поезії, № 02",1980 - 1990,Australia,#84B5B4
"Бахманн, Інгеборг: Поезії, № 02",1980 - 1990,English,#D1605E
"Бернгард, Томас: Три дні: Оповідання, № 04",1980 - 1990,1981,#E59246
"Буста, Крістіна: Поезії, № 02",1981,"Шеппард, Тріш: Діти сліпоти: Роман, № 12",#F2A2A10
"Гандке(Хацдке), Петер: Жінка-лівша: Повість, № 02",1970 - 1980,Austria,#84B5B2
"Гандке(Хацдке), Петер: Поезії, № 02",1970 - 1980,German,#84B5B1
"Захер-Мазох, Леопольд фон: Дон Жуан з Коломиї: Повість, № 03",1970 - 1980,1976,#D1605E
"Захер-Мазох, Леопольд фон: Жіночі образки з Галичини: Оповідання, № 03",1976,"Абрагам А Санта Клара: Опівнічні музики: Вірш, № 03",#E59246
"Кайн, Франц: Дорога до гірського озера: Оповідання, № 05",1990 - 2000,Austria,#F2A2A10
"Кайн, Франц: Сонет місту Леніна, № 11",1990 - 2000,German,#84B5B5
"Каснер, Рудольф: Притчі, № 03",1990 - 2000,1998,#D1605E
"Кафка, Франц: Вирок, № 3/4",1998,"Артманн, Ганс Карл: Поезії, № 02",#E59247
"Кафка, Франц: Сільський лікар, № 3/4",1990 - 2000,Austria,#F2A2A11
"Кафка, Франц: Старовинний рукопис, № 3/4",1990 - 2000,German,#84B5B3
"Кафка, Франц: Перед законом, № 3/4",1990 - 2000,1998,#84B5B2
"Кафка, Франц: Шакали і араби, № 3/4",1998,"Бахманн, Інгеборг: Поезії, № 02",#D1605E
"Кафка, Франц: Звіт для академії, № 3/4",1990 - 2000,Austria,#E59247
"Кафка, Франц: Мисливець Гракх, № 3/4",1990 - 2000,German,#F2A2A11
"Кафка, Франц: При будові Китайського муру, № 3/4",1990 - 2000,1991,#84B5B6
"Кафка, Франц: Герб міста, № 3/4",1991,"Бернгард, Томас: Три дні: Оповідання, № 04",#D1605E
"Кафка, Франц: Відмова, № 3/4",1990 - 2000,Austria,#E59248
"Кафка, Франц: Стерновий, № 3/4",1990 - 2000,German,#F2A2A12
"Кафка, Франц: Дзига, № 3/4",1990 - 2000,1998,#84B5B3
"Кафка, Франц: У дорогу: Оповідання, № 3/4",1998,"Буста, Крістіна: Поезії, № 02",#D1605E
"Кафка, Франц: Кочегар: Розд. з роману «Америка», № 12",1980 - 1990,Austria,#E59245
"Кафка, Франц: Перевтілення: Оповідання, № 12",1980 - 1990,German,#F2A2A9
"Кафка, Франц: Верхи на кадобі: Новела, № 12",1980 - 1990,1980,#84B5B4
"Кафка, Франц: Перед брамою закону: Урив, з роману «Процес», № 12",1980,"Гандке(Хацдке), Петер: Жінка-лівша: Повість, № 02",#D1605E
"Кафка, Франц: Імператорське послання: Новела, № 12",1990 - 2000,Austria,#E59246
"Кафка, Франц: Перевтілення: Оповідання, № 1/2",1990 - 2000,German,#F2A2A10
"Кафка, Франц: Три оповідання: Перше горе, № 5/6",1990 - 2000,1998,#84B5B2
"Кафка, Франц: Жіночка, № 5/6",1998,"Гандке(Хацдке), Петер: Поезії, № 02",#84B5B1
"Кафка, Франц: Співачка Жозефіна, або Мишачий народ, № 5/6",1990 - 2000,Austria,#D1605E
"Кіш, Егон Ервін: Витатуйований портрет: Оповідання, № 9/10",1990 - 2000,German,#E59246
"Кіш, Егон Ервін: Кахетинське червоне: Оповідання, № 34",1990 - 2000,1994,#F2A2A10
"Майрекер, Фрідеріке: Поезії, № 02",1994,"Захер-Мазох, Леопольд фон: Дон Жуан з Коломиї: Повість, № 03",#84B5B5
"Музіль, Роберт: Гріджія: Новела, № 07",1990 - 2000,Austria,#D1605E
"Рансмайр, Крістоф: Останній світ: Роман, № 3/4",1990 - 2000,German,#E59247
"Рільке, Райнер Марія: Дума про кохання і смерть корнета Крістофера Рільке: Поезія в прозі, № 10",1990 - 2000,1994,#F2A2A11
"Рільке, Райнер Марія: Поезії, № 10",1994,"Захер-Мазох, Леопольд фон: Жіночі образки з Галичини: Оповідання, № 03",#84B5B3
"Рільке, Райнер Марія: З дитинства: Вірш, № 7/8",1980 - 1990,Austria,#84B5B2
"Рільке, Райнер Марія: Поезії, № 02",1980 - 1990,German,#D1605E
"Рільке, Райнер Марія: Поезії, № 01",1980 - 1990,1984,#E59247
"Рільке, Райнер Марія: Поезії, № 04",1984,"Кайн, Франц: Дорога до гірського озера: Оповідання, № 05",#F2A2A11
"Рот, Йозеф: Ціппер та його батько: Роман, № 08",1970 - 1980,Austria,#84B5B6
"Тракль, Георг: Поезії, № 10",1970 - 1980,German,#D1605E
"Фрід, Еріх: Поезії, № 09",1970 - 1980,1973,#E59248
"Фрітш, Гергарт: Поезії, № 02",1973,"Кайн, Франц: Сонет місту Леніна, № 11",#F2A2A12
"Фуссенегер, Гертруда: Тютюновий город: Оповідання, № 11",1990 - 2000,Austria,#84B5B4
-,1990 - 2000,German,#84B5B3
"Хайду, Юліус: Новий світ: Урив з кн, № 31/33",1990 - 2000,1990,#D1605E
"Цвейг, Стефан: Пломбований поїзд: Оповідання: з кн. «Зоряні години людства», № 11",1990,"Каснер, Рудольф: Притчі, № 03",#E59248
"Цвейг, Стефан: Фрагмент новели: 3 маловідомої спадщини, № 10",1990 - 2000,Austria,#84B5B4
"Целан, Пауль: Поезії, № 06",1990 - 2000,German,#D1605E
"Цур Мюлен, Гермінія: Дрібнота: Оповідання, № 03",1990 - 2000,1993,#E59246
"Цур Мюлен, Гермінія: Перлина: Оповідання, № 27",1993,"Кафка, Франц: Вирок, № 3/4",#F2A2A10
"Цур Мюлен, Гермінія: Штепсель: Оповідання, № 41",1990 - 2000,Austria,#84B5B5
"Яндль, Ернст: Поезії, № 09",1990 - 2000,German,#D1605E
"Яндль, Ернст: Поезії, № 02",1990 - 2000,1993,#E59247
Albania,1993,"Кафка, Франц: Сільський лікар, № 3/4",#F2A2A11
Albanian,1990 - 2000,Austria,#84B5B0
"Буджелі, Каміль: Королівський кінь і нові вершники: Роман(скорочено), № 06",1990 - 2000,German,#84B5B1
"Буджелі, Каміль: Королівський кінь і нові вершники: Роман(скорочено), № 07",1990 - 2000,1993,#D1605E
"Д’ята, Фатмір: Жовті води: Оповідання, № 01",1993,"Кафка, Франц: Старовинний рукопис, № 3/4",#E59247
"Щощ, А: Останнє слово, № 05",1990 - 2000,Austria,#F2A2A11
"Щощ, А: Роздавач премій, № 05",1990 - 2000,German,#84B5B6
"Щощ, А: Не залякаєш: Епіграми, № 05",1990 - 2000,1993,#D1605E
Algeria,1993,"Кафка, Франц: Перед законом, № 3/4",#E59248
French,1990 - 2000,Austria,#F2A2A12
"Амруш, Жан: Алжірська боротьба: Вірш, № 10",1990 - 2000,German,#84B5B1
"Ашур, Мулуд: Сенс Життя: Оповідання, № 01",1990 - 2000,1993,#84B5B0
"Булануар, Мессаур: Вступ: Вірш, № 06",1993,"Кафка, Франц: Шакали і араби, № 3/4",#D1605E
Arabic,1990 - 2000,Austria,#E59248
"Ваттар, Ат-Тахір: Весілля мула: Роман, № 03",1990 - 2000,German,#F2A2A12
"Ваттар, Ат-Тахір: Туз: Роман, № 01",1990 - 2000,1993,#84B5B7
"Ваттар, Ат-Тахір: Туз: Роман, № 02",1993,"Кафка, Франц: Звіт для академії, № 3/4",#D1605E
"Грекі, Анна: Поезії, № 03",1990 - 2000,Austria,#E59249
"Джаут, Тагар: Туманного ранку: Оповідання, № 01",1990 - 2000,German,#F2A2A13
"Діб, Мохаммед: Поезії, № 10",1990 - 2000,1993,#84B5B4
"Єллес, Мурад: Продавець жасмину: Оповідання, № 01",1993,"Кафка, Франц: Мисливець Гракх, № 3/4",#84B5B3
"Креа, Анрі: Весною року 1958... Паризькі квіти розцвітають по в’язницях: Вірш, № 10",1990 - 2000,Austria,#84B5B3
"Саадалла, Абу аль-Касим: Алжір говорить: «Ні!»: [Вірш], № 03",1990 - 2000,German,#D1605E
"Салех Алжірський, Абу Абдаллаг: Поезії, № 06",1990 - 2000,1993,#E59246
"Сенак, Жан: Громадяни краси: Вірш, № 10",1993,"Кафка, Франц: При будові Китайського муру, № 3/4",#F2A2A10
"Фелах, Салах: Терниста дорога: Роман, № 07",1990 - 2000,Austria,#84B5B5
"Аль-Харфі, Салех ібн-Салех: Трагедія Табасси: [Вірш], № 06",1990 - 2000,German,#D1605E
"Шаїб, Мохаммед: Перепічка: Оповідання, № 01",1990 - 2000,1993,#E59247
Angola,1993,"Кафка, Франц: Герб міста, № 3/4",#F2A2A11
Portuguese,1990 - 2000,Austria,#84B5B0
"Андраді, Кошта: Четверта пісня звинувачення: [Вірш], № 11",1990 - 2000,German,#84B5B1
"Бенудія: «М» прийде, товаришу: Оповідання, № 08",1990 - 2000,1993,#D1605E
"Круш, Віріату да: Чорна мати: Вірш, № 01",1993,"Кафка, Франц: Відмова, № 3/4",#E59247
"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Ми - надія народу: Вірш, № 03",1990 - 2000,Austria,#F2A2A11
"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Контракт: Поезії, № 05",1990 - 2000,German,#84B5B6
"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Поезії, № 11",1990 - 2000,1993,#D1605E
"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Поезії, № 06",1993,"Кафка, Франц: Стерновий, № 3/4",#E59248
"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Прощання: Вірш, № 10",1990 - 2000,Austria,#F2A2A12
"Пепетела: Майомбе: Роман, № 12",1990 - 2000,German,#84B5B1
"Пепетела: Муана Пуо: Оповідання, № 08",1990 - 2000,1993,#84B5B0
"Роша, Жофре: Оповідання передмість: Хлоп’ята, № 02",1993,"Кафка, Франц: Дзига, № 3/4",#D1605E
"Роша, Жофре: Лихо старої Тутурі, № 02",1990 - 2000,Austria,#E59248
"Роша, Жофре: Історія Ве-нансіо Жоао та його шуляка Лукаса Ма-нуеля, № 02",1990 - 2000,German,#F2A2A12
"Роша, Жофре: Шляхи свободи, № 02",1990 - 2000,1993,#84B5B7
"Руй Монтейро, Мануел: Годинник: Оповідання, № 07",1993,"Кафка, Франц: У дорогу: Оповідання, № 3/4",#D1605E
"Сантуш, Арнадду: Повернення: Вірш, № 11",1960 - 1970,Austria,#E59249
Argentina,1960 - 1970,German,#F2A2A13
Spanish,1960 - 1970,1963,#84B5B4
"Абалос, Хорхе: Цинік: Новела, № 02",1963,"Кафка, Франц: Кочегар: Розд. з роману «Америка», № 12",#D1605E
"Аррієта, Рафаель Альберто: Про камені: Вірш, № 8/9",1960 - 1970,Austria,#E59246
"Банчс, Енріке: Пісенька, № 8/9",1960 - 1970,German,#F2A2A10
"Боргес(Борхес), Хорхе Луїс: Безсмертний: Новела, № 02",1960 - 1970,1963,#84B5B5
"Боргес(Борхес), Хорхе Луїс: Дім Астеріона: Оповідання, № 1/2",1963,"Кафка, Франц: Перевтілення: Оповідання, № 12",#D1605E
"Боргес(Борхес), Хорхе Луїс: Книга піску: Оповідання, № 04",1960 - 1970,Austria,#E59247
"Боргес(Борхес), Хорхе Луїс: Оповідання й мініатюри: Нечемний знавець ритуалу Коцукено Суке, № 08",1960 - 1970,German,#F2A2A11
"Боргес(Борхес), Хорхе Луїс: Теолог після смерті, № 08",1960 - 1970,1963,#84B5B0
"Боргес(Борхес), Хорхе Луїс: Зала статуй, № 08",1963,"Кафка, Франц: Верхи на кадобі: Новела, № 12",#84B5B1
"Боргес(Борхес), Хорхе Луїс: Про двох, яким снилось, № 08",1960 - 1970,Austria,#D1605E
"Боргес(Борхес), Хорхе Луїс: Чаклун-недоук, № 08",1960 - 1970,German,#E59247
"Боргес(Борхес), Хорхе Луїс: Чорнильне дзеркало, № 08",1960 - 1970,1963,#F2A2A11
"Боргес(Борхес), Хорхе Луїс: Двійник Магомета, № 08",1963,"Кафка, Франц: Перед брамою закону: Урив, з роману «Процес», № 12",#84B5B6
"Боргес(Борхес), Хорхе Луїс: Фінал, № 08",1960 - 1970,Austria,#D1605E
"Боргес(Борхес), Хорхе Луїс: Поезії, № 02",1960 - 1970,German,#E59248
"Боргес(Борхес), Хорхе Луїс: Рівнини: Вірш, № 8/9",1960 - 1970,1963,#F2A2A12
"Вальш, Марія Елена: Смерть коня: Вірш, № 8/9",1963,"Кафка, Франц: Імператорське послання: Новела, № 12",#84B5B1
"Гонсалес Туньйон, Рауль: Полька про листівку з картону: Уривок, Вірш, № 8/9",1990 - 2000,Austria,#84B5B0
"Давальос, Хайме: Ходімо, люба, на збір тростини: [Вірш], № 8/9",1990 - 2000,German,#D1605E
"Капдевіла, Артуро: Пісня для Буенос-Айреса: (Уривок), № 8/9",1990 - 2000,2000,#E59248
"Касарес, Адольфо Біой: Незвичайні історії, № 05",2000,"Кафка, Франц: Перевтілення: Оповідання, № 1/2",#F2A2A12
"Касарес, Адольфо Біой: Пацюк, або Ключ до поведінки, № 05",1990 - 2000,Austria,#84B5B7
"Касарес, Адольфо Біой: Венеціанські маски, № 05",1990 - 2000,German,#D1605E
"Касарес, Адольфо Біой: Трійця, № 05",1990 - 2000,1998,#E59249
"Касарес, Адольфо Біой: Незвичайна історія, № 05",1998,"Кафка, Франц: Три оповідання: Перше горе, № 5/6",#F2A2A13
"Касарес, Адольфо Біой: Шлях до Індій: Оповідання, № 05",1990 - 2000,Austria,#84B5B4
"Касерес, Херман: Послуга: Комікс, № 10",1990 - 2000,German,#D1605E
"Касона, Алехандро: Поезії, № 03",1990 - 2000,1998,#E59246
"Кордова Ітурбуру, Каєтано: Смерть між горами: [Вірш], № 8/9",1998,"Кафка, Франц: Жіночка, № 5/6",#F2A2A10
"Кортасар, Хуліо: Захоплений дім: Оповідання, № 11/12",1990 - 2000,Austria,#84B5B5
"Кортасар, Хуліо: Кошмари, № 01",1990 - 2000,German,#D1605E
"Кортасар, Хуліо: Котяче бачення, № 01",1990 - 2000,1998,#E59247
"Кортасар, Хуліо: Іще дещо про сходи, № 01",1998,"Кафка, Франц: Співачка Жозефіна, або Мишачий народ, № 5/6",#F2A2A11
"Кортасар, Хуліо: Розбивання крапель, № 01",1990 - 2000,Austria,#84B5B0
"Кортасар, Хуліо: Монолог ведмедя, № 01",1990 - 2000,German,#84B5B1
"Кортасар, Хуліо: Чудернацький вибір: Оповідання, № 01",1990 - 2000,1999,#D1605E
"Кортасар, Хуліо: Ліліана плаче, № 10/11",1999,"Кіш, Егон Ервін: Витатуйований портрет: Оповідання, № 9/10",#E59247
"Кортасар, Хуліо: Рукопис, знайдений у кишені, № 10/11",1920 - 1930,Austria,#F2A2A11
"Кортасар, Хуліо: Кроки по слідах: Оповідання, № 10/11",1920 - 1930,German,#84B5B6
"Кортасар, Хуліо: Оповідання: Таємна зброя, № 06",1920 - 1930,1928,#D1605E
"Кортасар, Хуліо: Вказівки для Джона Хоувелла, № 06",1928,"Кіш, Егон Ервін: Кахетинське червоне: Оповідання, № 34",#E59248
"Кортасар, Хуліо: Ліліана плаче, № 06",1990 - 2000,Austria,#F2A2A12
"Кортасар, Хуліо: Жовта квітка, № 06",1990 - 2000,German,#84B5B1
"Кортасар, Хуліо: Літо, № 06",1990 - 2000,1998,#84B5B0
"Кортасар, Хуліо: Торіто, № 06",1998,"Майрекер, Фрідеріке: Поезії, № 02",#D1605E
"Кортасар, Хуліо: Поезії, № 01",1990 - 2000,Austria,#E59248
"Кортасар, Хуліо: Усі вогні - це вогонь: Новела, № 02",1990 - 2000,German,#F2A2A12
"Костантіні, Умберто: Про богів, маленьких людей і поліцаїв: Роман, № 07",1990 - 2000,1999,#84B5B7
"Куссані, Агустін: Фунт м’яса: П’єса, № 03",1999,"Музіль, Роберт: Гріджія: Новела, № 07",#D1605E
"Ларра, Рауль: Без перепочинку: Роман, № 02",1990 - 2000,Austria,#E59249
"Мартіні, Хуан Карлос: Облога: Повість, № 08",1990 - 2000,German,#F2A2A13
"Молінарі, Рікардо Е: Веласкесівська дівчина: [Вірш], № 11",1990 - 2000,1992,#84B5B2
"Огандо, Еміліо М: Як же болиш ти, серце!..: Вірш, № 8/9",1992,"Рансмайр, Крістоф: Останній світ: Роман, № 3/4",#84B5B1
"Оргамбіде, Педро: Зраджений чоловік, № 07",1970 - 1980,Austria,#D1605E
"Оргамбіде, Педро: Парашутист, № 07",1970 - 1980,German,#E59249
"Оргамбіде, Педро: Ремесло самотності: Оповідання, № 07",1970 - 1980,1973,#84B5B5
"Прилуцька-Фарни, Юлія: Антологія кохання: Поезії, № 1/2",1973,"Рільке, Райнер Марія: Дума про кохання і смерть корнета Крістофера Рільке: Поезія в прозі, № 10",#D1605E
"Соррентіно, Фернандо: Довгоступи: Оповідання, № 06",1970 - 1980,Austria,#E59247
"Сторні, Альфонсина(Альфонсіна): Можливо: Вірш, № 8/9",1970 - 1980,German,#F2A2A11
"Сторні, Альфонсина(Альфонсіна): Тu me quieres blanca...:Вірш, № 02",1970 - 1980,1973,#84B5B6
"Тьємпо, Сесар (справж. ім’я - Цейтлін Ізраїль): Дівчина із колонії: Вірш, № 8/9",1973,"Рільке, Райнер Марія: Поезії, № 10",#D1605E
"Форкат, Хуліо Сесар: Чаклун-підмайстер у Чорнобилі: Вірш, № 02",1990 - 2000,Austria,#E59248
"Хіхена Санчес, Рафаель: Як їхав я з рід-краю: [Вірш], № 8/9",1990 - 2000,German,#F2A2A12
Afghanistan,1990 - 2000,2000,#84B5B2
Dari,2000,"Рільке, Райнер Марія: З дитинства: Вірш, № 7/8",#84B5B3
"Абар, Мір: Поезії, № 08",1960 - 1970,Austria,#D1605E
Pashto,1960 - 1970,German,#E59248
"Зіяр, Муджавар Ахмад: Поезії, № 03",1960 - 1970,1968,#F2A2A12
"Кавім, Каюм: Поезії, № 03",1968,"Рільке, Райнер Марія: Поезії, № 02",#84B5B7
"Лаєк, Сулейман: Поезії, № 04",1990 - 2000,Austria,#D1605E
"Нагібі, Абдулла: Поезії, № 04",1990 - 2000,German,#E59249
"Назімі, Латіф: Поезії, № 03",1990 - 2000,1991,#F2A2A13
"Таракі, Нур Мухаммед: Поневіряння Банта: Повість, № 06",1991,"Рільке, Райнер Марія: Поезії, № 01",#84B5B1
"Туфані, Сиддик Кавун: Поезії, № 03",1960 - 1970,Austria,#84B5B2
"Хабіб, Асадулла: Слово до людини з світу капіталу, № 03",1960 - 1970,German,#D1605E
"Хабіб, Асадулла: Прощання: Вірші, № 03",1960 - 1970,1966,#E59249
"Хабіб, Кадир: Крізь пекло: Оповідання, № 01",1966,"Рільке, Райнер Марія: Поезії, № 04",#F2A2A13
"Хадем, Кіямуддін: Ленін: Вірш, № 10",1980 - 1990,Austria,#84B5B8
"Хусейні, Рафат: Голос каменя: Вірш, № 03",1980 - 1990,German,#D1605E
Bangladesh,1980 - 1990,1981,#E59250
"Бхоттачарджо, Шуканто: Прохачі, № 10",1981,"Рот, Йозеф: Ціппер та його батько: Роман, № 08",#F2A2A14
"Бхоттачарджо, Шуканто: Заклик: Поезії, № 10",1970 - 1980,Austria,#84B5B4
"Іслам, Нозрул: Поезії, № 10",1970 - 1980,German,#84B5B3
"Шабер, Шохід: Образ матері: Поезії, № 10",1970 - 1980,1975,#84B5B3
Belgium,1975,"Тракль, Георг: Поезії, № 10",#D1605E
Flemish,1990 - 2000,Austria,#E59247
"Акен, Піт Ван: Поснулі собаки: Повість, № 02",1990 - 2000,German,#F2A2A11
"Ван Лерберг, Шарль: Дар: Вірш, № 3/4",1990 - 2000,1994,#84B5B6
"Ванделоо, Йос: Небезпека: Повість, № 10",1994,"Фрід, Еріх: Поезії, № 09",#D1605E
"Верхарн, Еміль: Гордість: Вірш, № 02",1990 - 2000,Austria,#E59248
"Верхарн, Еміль: Мій сніп: Вірш, № 10",1990 - 2000,German,#F2A2A12
"Верхарн, Еміль: На пристані: Вірш, № 10",1990 - 2000,1998,#84B5B2
"Верхарн, Еміль: Порт: [Вірш], № 22",1998,"Фрітш, Гергарт: Поезії, № 02",#84B5B3
"Елсхот, Віллєм(Ван-Ріддер): Ми ловимо пташок на клей: Сатир, роман, № 07",1960 - 1970,Austria,#D1605E
"Елсхот, Віллєм (Ван-Ріддер): Ми ловимо пташок на клей: Сатир, роман, № 08",1960 - 1970,German,#E59248
"Ертай, Жаклін: Поезії, № 04",1960 - 1970,1966,#F2A2A12
"Жакмен, Франсуа: Поезії, № 04",1966,"Фуссенегер, Гертруда: Тютюновий город: Оповідання, № 11",#84B5B7
"Клаус, Гуґо: Зимовий вечір: П’єса, № 9/10",1930 - 1940,Austria,#D1605E
"Лемоньє, Каміл: Весела проща: Оповідання, № 08",1930 - 1940,-,#E59249
"Лодомез, Аєтон: Поезії, № 04",1930 - 1940,1932,#F2A2A13
"Нело, Жіль: Майстер: Новела, № 11/12",1932,"Хайду, Юліус: Новий світ: Урив з кн, № 31/33",#84B5B1
"Пер’є, Оділон-Жан: Поезії, № 02",1980 - 1990,Austria,#84B5B2
"Єтецик Ірен: Мазепа, гетьман України: Роман, № 1/2",1980 - 1990,German,#D1605E
"Тесса, Франсіс: Поезії, № 04",1980 - 1990,1988,#E59249
"Фалкенаре, Жюльєн де: Вибрані афоризми, № 09",1988,"Цвейг, Стефан: Пломбований поїзд: Оповідання: з кн. «Зоряні години людства», № 11",#F2A2A13
"Юбен, Крістіан: Поезії, № 04",1960 - 1970,Austria,#84B5B8
Benin,1960 - 1970,German,#D1605E
"Асонгба, Ромен: Дійна корова: Алегорія: Поезія, № 01",1960 - 1970,1962,#E59250
"Суману, Мама: Коли я зможу, № 06",1962,"Цвейг, Стефан: Фрагмент новели: 3 маловідомої спадщини, № 10",#F2A2A14
"Суману, Мама: Наша радість: Поезії, № 06",1970 - 1980,Austria,#84B5B5
Belarus,1970 - 1980,German,#D1605E
Belarusian,1970 - 1980,1978,#E59247
